date,available_spots
10/17/2017,154
10/17/2017,158
10/17/2017,161
10/17/2017,161
10/17/2017,161
10/17/2017,161
10/17/2017,161
10/17/2017,161
10/17/2017,161
10/17/2017,161
10/17/2017,161
10/17/2017,160
10/17/2017,136
10/17/2017,93
10/17/2017,48
10/17/2017,31
10/17/2017,28
10/18/2017,29
10/18/2017,30
10/18/2017,35
10/18/2017,47
10/18/2017,120
10/18/2017,147
10/18/2017,160
10/18/2017,161
10/18/2017,161
10/18/2017,161
10/18/2017,161
10/18/2017,161
10/18/2017,161
10/18/2017,161
10/18/2017,161
10/18/2017,161
10/18/2017,161
10/18/2017,161
10/18/2017,154
10/18/2017,139
10/18/2017,105
10/18/2017,71
10/18/2017,64
10/18/2017,66
10/19/2017,64
10/19/2017,68
10/19/2017,76
10/19/2017,82
10/19/2017,105
10/19/2017,119
10/19/2017,120
10/19/2017,126
10/19/2017,129
10/19/2017,133
10/19/2017,144
10/19/2017,157
10/19/2017,161
10/19/2017,161
10/19/2017,161
10/19/2017,161
10/19/2017,161
10/19/2017,161
10/19/2017,161
10/19/2017,139
10/19/2017,97
10/19/2017,62
10/19/2017,43
10/19/2017,40
10/20/2017,41
10/20/2017,46
10/20/2017,51
10/20/2017,63
10/20/2017,78
10/20/2017,119
10/20/2017,132
10/20/2017,135
10/20/2017,141
10/20/2017,143
10/20/2017,144
10/20/2017,144
10/20/2017,144
10/20/2017,144
10/20/2017,143
10/20/2017,143
10/20/2017,141
10/20/2017,141
10/20/2017,137
10/20/2017,132
10/20/2017,88
10/20/2017,71
10/20/2017,64
10/20/2017,69
10/21/2017,77
10/21/2017,83
10/21/2017,92
10/21/2017,99
10/21/2017,115
10/21/2017,136
10/21/2017,151
10/21/2017,160
10/21/2017,161
10/21/2017,161
10/21/2017,161
10/21/2017,161
10/21/2017,161
10/21/2017,161
10/21/2017,161
10/21/2017,161
10/21/2017,161
10/21/2017,161
10/21/2017,161
10/21/2017,126
10/21/2017,74
10/21/2017,47
10/21/2017,39
10/21/2017,31
10/22/2017,30
10/22/2017,38
10/22/2017,47
10/22/2017,61
10/22/2017,82
10/22/2017,135
10/22/2017,147
10/22/2017,152
10/22/2017,159
10/22/2017,159
10/22/2017,160
10/22/2017,161
10/22/2017,161
10/22/2017,161
10/22/2017,159
10/22/2017,159
10/22/2017,159
10/22/2017,159
10/22/2017,156
10/22/2017,129
10/22/2017,85
10/22/2017,52
10/22/2017,39
10/22/2017,30
10/23/2017,34
10/23/2017,35
10/23/2017,40
10/23/2017,55
10/23/2017,117
10/23/2017,142
10/23/2017,158
10/23/2017,161
10/23/2017,161
10/23/2017,161
10/23/2017,161
10/23/2017,161
10/23/2017,161
10/23/2017,161
10/23/2017,161
10/23/2017,161
10/23/2017,161
10/23/2017,161
10/23/2017,161
10/23/2017,133
